/**MENU**/
The team;Equipa
house in vialonga;casa na house
empreiteiro house;casa do empreiteiro - belas
mr. arruda house - azores;casa dr. arruda - faial
ruraltur;ruraltur - faial
pires guerra house;casa pires guerra
three model houses;3 casas modulares
competitions;concursos
vimeiro golf hotel refurbishment competition;vimeiro golf hotel - remodelação de acessos e segurança
luanda house - patio and pavillion competition;luanda house - patio and pavillion - experimenta lisboa
car park;estacionamento - macau
martial arts sports complex;complexo de artes marciais - macau
library in santa maria island;biblioteca em santa maria - açores
young artists digital photograph competition;jovens artistas - fotografia digital
mondaine competition;mondaine - relógio do design portugues
ifda competition;ifda - a madeira e o amor
rio maior bus terminal;central terminal de autocarros de rio maior
expresso/sojornal building;edifício da sojornal/expresso
consultancy;consultoria
house construction viability - monchique;viabilidade económica de construção de casa - monchique
house construction viability - manique;viabilidade económica de construção de casa - manique
commercial complex renovation from residential buildings;conversão de edifícios comerciais em habitação
housing fisability study - lote d;viabilidade económica de construção de casa - lote d
gemini comercial centre refurbishment;remodelação integral das galerias comerciais do c.c. gemini
jfs fachade color scheme;estudo cromático de fachada de edifício jfs, angola
masterplan;urbanismo
lubango master plan, for cns - angola;plano director do lubango , para gov. regional da huíla - cns - angola
alto dos espalhatos, azores;alto dos espalhatos, açores
quinta da nascente, rio maior;quinta da nascente, rio maior
set design;cenografia
“best 2003 portuguese comics” set, in the xiv internacional festival of comics in amadora (fibda);“melhor banda desenhada de 2003” no xiv festival internacional de banda desenhada da amadora (fibda)
children’s scenic space in the xv internacional festival of comics in amadora;espaço infantil no xv fibda
two sets in the xviii internacional festival of comics in amadora;dois espaços no xviii ifbda
/****/


/**HOME TITLES**/
Toilets Macau;Inst.Sanit. AIM
Pero Boi house;Casa Pero Boi
Luanda House;Concurso Luanda
Palace;Palacete
Boat Shelter;Abrigo marítimo
Computer center;FLAG
Office Macau;Escritório Macau
Marina Macau;Marina Macau
Rogan Table;mesa Rogan
PDM Lubango;PDM Lubango
Alcantara LX;Alcantara LX
FIBDA 2003;FIBDA 2003
Refurbishment LND;Remodelação LND
Illustration;Ilustração
Afonso house;Casa Afonso
Office Building;Torre Macau
Atom Stagewear;Atom Stagewear
Informality;Informalidade
Neck Gather;Neck Gather
S4M Spain;S4M Spain
Cascais rest.;Restaurant
/****/


/**TOILETS MACAU**/
Public Toilets – Macau International Airport;Instalações Sanitárias – Aeroporto Internacional de Macau
2009;2009
Client: CAM – Macau International Airport Company;Cliente: CAM – Companhia do Aeroporto Internacional de Macau
Expansion and renovation of Macau international airport public toilets. A new image – reference to Macau's architectural and urban heritage.;Ampliação e remodelação das instalações sanitárias públicas do aeroporto internacional de Macau. Pressupostos – nova imagem, referência à herança do espaço físico cultural de Macau.
Pero Boi House;Casa Pero Boi
2004-2011;2004-2011
Client: Private;Cliente: Privado
House in Castelo de Vide, Portugal;Moradia em Castelo de Vide, Portugal
The idea was to build a house that allowed living mainly on the ground floor, while the upper floor could be rented. So the house is composed of two separate levels, communicating by stairs, which can be closed, therefore separating the two worlds. The rotation of the upper plan is ideal for solar panels, which is expressed on the roof fall. All rooms including the bathroom open onto the field, allowing everyone to be independent and the outside to merge with the inside. There was an existing derelict building on site from which the new build borrows the footprint and the stone for the walls. Within the estate there was also build a detached multipurpose small studio.;Uma casa multifamiliar separada em dois pisos sobrepostos a 90 graus unidos somente por uma escada interior. O programa pedia a possibilidade de utilizar a casa como um todo, ou o aluguer do piso de cima. O resultado são dois corpos rodados em que cada um tenta explorar ao máximo a ligação com a rua em dois níveis separados dada a inclinação do terreno. A rotação do piso de cima permitiu a orientação a sul e a cobertura é inclinada para a óptima captação de energia solar. A casa está no mesmo local de uma pré-existência e vive da enraização aos muros do local. Foi também construído um pequeno estúdio no terreno.
/****/


/**LUANDA HOUSE**/
Luanda House, Angola;Casa em Luanda, Angola
2010;2010
Competition: House in Luanda - Patio and Pavillion; Concurso: Casa em Luanda - Pátio e Pavilhão
Credits: Daniela Castel-Branco, Miguel Cordeiro, Beatriz Talavera and Dion Lembekker;Créditos: Daniela Castel-Branco, Miguel Cordeiro, Beatriz Talavera e Dion Lembekker
The 30 years civil war accelerated the rural exodus to Luanda. The lack of infrastructures resulted in the invention of survival strategies. Angolan are resourceful, spending their day selling, buying and storing brick by brick. How to incorporate this reality in our design proposal? How to build a sustainable low budget house in a slum? The single house replication determines different neighbourhood blocks. We propose as house extension a frontage space that can be used for a small shop. This double front face is turned to the street working as a buffer for the house private sphere. The common spaces are central where the family gathers and parties. The patio walls are higher to assure the house cooling. All the materials are sourced locally. The tin roof is recyclable and collects rainwater for the garden and toilet.;Os 30 anos de guerra civil aceleraram o êxodo rural para Luanda. A falta de infraestructuras resultaram na invenção de estratégias de sobrevivência. Os Angolanos são desenrascados, passando o seu dia-a-dia recolhendo, vendendo e armazenando - tijolo a tijolo. Como incorporar esta realidade numa proposta viável? Como construir uma casa sustentável de baixo custo num musseque? A repetição contínua de uma casa determina a variedade de bairros de vizinhança. Propõe-se na entrada da casa uma extensão que pode ser usada como espaço comercial. Esta dupla fachada permite um espaço de pausa para a entrada privada da casa/pátio interior. Os espaços comuns são centrais na vida social/funcional das pessoas. As paredes do pátio são elevadas para potenciar o refrescamento do pátio interior. Todos os materiais são de recursos/produção local. A cobertura de zinco é reciclável e a inclinação das águas permite a recolha da chuva para uso doméstico.
/****/


/**CRUZ DA PEDRA**/
Cruz da pedra;Palacete Cruz da pedra
2005-2011;2005-2011
Client: Private;Cliente: Privado
Status: pending;Situação: pendente
Credits: Pedro Sempiterno, Architect; Créditos: Pedro Sempiterno, Arquiteto
The main body of the building dates from the XV century, but it suffered many changes through the years. This new program required 13 apartments in order to be economically viable. So a new building is added to the existent. The program also asked for parking and a swimming pool, so the result it’s more or less like a private condominium.;O edifício original data do sec. XV, mas sofreu muitas alterações de construção e uso ao longo do tempo. Por necessidade de viabilidade económica o programa exigia a construção de um novo corpo, para que todo o conjunto fosse transformado em apartamentos. Foi usada climatização geotérmica em todo o complexo. O programa também exigia piscina, mini-ginásio, estacionamento e um grande jardim. É um pequeno condomínio.
/****/


/**BOAT SHELTER**/
Boat shelter;Abrigo Marítimo
2009;2009
Client: CAM - Macau International Airport Company;Cliente: CAM - Companhia do Aeroporto International de Macau
Over a concrete portico we built what seems to be a house.;Sobre um pórtico de betão construiu-se o que parece ser uma casa.
/****/

/**FLAG**/
FLAG - Computer Learning Centre;FLAG - Centro de Formação de Computadores
2004;2004
Client: private;Cliente: privado
Fit-out for a Learning Centre including new layout design and all bespoke furniture, as computer desks projectors for publicity and design boards.;Remodelação das instalações do centro de formação de cursos de computadores - o trabalho incluiu o desenho do layout e de todo o equipamento de apoio: mesas, projectores, painéis de publicidade, etc.
/****/


/**FORUM**/
Forum Consultants Ltd. Office, Macau;Escritório do Forum Consultants Ltd., Macau
2010;2010
Client: Forum Consultants Ltd;Cliente: Forum Consultants Ltd
Office interior design and fit out including welcome reception counter, exploring the nobleness of the wood and the company’s logo. Behind the scenes, an open space office.;Remodelação dos escritórios Forum Consultants Ltd. Um balcão, a nobreza da madeira e o logo. Por detrás do palco, em espaço aberto, o espaço de trabalho.
/****/


/**MARINA**/
Marina Restaurants, Coloane, Macau.;Restaurantes da Marina, Coloane - Macau.
2006;2006
Status: project;Status: projecto
Client: Private comission;Cliente: Comissão Privada
5 restaurants. We decide to keep the idea of the place, the old ship yard of Coloane Island. On stilts we live within water.;Pressupôs-se a ideia do lugar, as naves de madeira do antigo estaleiro de Coloane. Sobre palafitas vamos ao encontro da água.
/****/


/**ROGAN**/
Rogan Table;Mesa Rogan
2004;2004
Client: private;Cliente: privado
The exercise was to build a table for two users, husband and wife, with diferent recomendations. He had a good collection of pens, and needed a big surface for he was aparently desorganized, and she needed a big space to store paper and simply drop on the drawers everything she wanted. The result was a composition of two tables, one inside the other, one male and one female... And yes! we tried the IFDA 2002 competition;Pretendia-se o desenho de duas mesas para o uso de um casal, com diferentes requisitos. Ele tinha uma coleção de canetas e necessitava de espaço para a sua aparente desorganização e ela necessitava de espaço de arrumo para largar o que quisesse dentro das gavetas sem preocupação. O resultado foi a composição de duas mesas, uma dentro da outra com módulos de gavetas feminino e masculino	Há! e participámos no concurso IFDA 2002
/****/


/**LUBANGO**/
Lubango Master Plan;Plano Director do Lubango
2003;2003
Client: Huíla Province Government, Angola (CNS);Cliente: Governo da Provincia da Huíla, Angola (CNS)
Designing the master plan for the Lubango city was one of the richest experiences ever. In a place like Angola, one can never think the work is simply intellectual, it requires all our effort and energy and the simplest things. What we do, the way we work is what we teach and what we leave. It´s very simple, everything counts. Photographing the museum collection, preparing an exhibition about the past, the present and the future of the city made part of this experience in Africa.;O trabalho inerente a um plano director municipal exige a recolha de dados sobre a cidade e a população, experiência essa de grande intensidade dado o volume de trabalho. No caso de uma cidade Angolana essa experiência é tão maior, já que tudo o que fazemos, dizemos e ensinamos sem saber ; é útil. Parte dessa experiência passou pelo inventário fotográfico do Museu Regional da Huíla, a preparação de um exposição sobre o passado, presente e futuro da cidade, o desenho do mapa da cidade e uma palestra nos Arquitectos Sem Fronteiras (ASF-Portugal).
/****/


/**ALCANTARA**/
Design District Competition;Concurso de Urbanismo
2004;2004
Lisbon's river front;Frente Ribeirinha de Lisboa
The project aims to redevelop an area of 40.500 sqm, formerly occupied by warehouses and factories that have long been obsolete. We propose to sustain the continuity of public squares, which characterize the Lisbon's river front, promoting the physical and visual contact with the river.;O projecto desenvolve-se numa área de 40.500 m2, anteriormente ocupada por armazéns e fábricas há muito desactivadas. Propõe-se com esta solução a continuidade das praças públicas ao longo da frente ribeira de Lisboa potenciando a relação física e visual com o rio Tejo.
/****/


/**AMADORA**/
XIV Amadora Internacional "BD" Festival;XIV Festival Internacional de "BD" da Amadora
2003;2003
Client: CNBD, Amadora, Portugal;Cliente: CNBD, Amadora, Portugal
Exhibition design for the best Portuguese comic book of the year by José Carlos Fernandes 7x6 m (42 m2) Room The aim is to communicate the ambience of a jazz bar, creating a universe where time and space twisted to give the impression of physical discomfort. The process consisted of using an optic illusion on the floor and stretching the walls to stimulate the experience. Four chairs were also created, attributing to each character of the story one “impersonated” chair.;Layout e construção da exposição para a melhor banda desenhada do ano de José Carlos Fernandes	7x6 m (42 m2) Room. O objectivo era conseguir transmitir espacialmente a sensação de desconforto físico inspirado nos livros "A pior banda do mundo". A resposta foi dada através do uso de um truque de ilusão óptica pintado na quadrícula deformada no chão, dos planos oblíquos das paredes e da inclinação do pavimento. Quatro cadeiras foram criadas no centro da sala personificando através do seu desenho cada um dos músicos.
/****/


/**SPAN HOUSE**/
Refurbishment of a Span house in Blackheath, London;Remodelação de uma "Span house" em Blackheath, Londres
built 1968;Ano Construção 1968
Client: private;Cliente: privado
status: ongoing;status: em progresso
This house belongs to a group of 19 which form Parkend, a Span estate in Blackheath, London. Span estates are residential developments build between the 50s and the 80s across the UK, by a company formed by developers (Geoffrey Townsend and Leslie Bilsby), an architect (Eric Lyons) and a landscape architect (Ivor Cunningham). Set in a suburban area where communal gardens help to create a sense of community, Parkend was originally built in 1967. This house has an ongoing refurbishment plan that includes new hardwood windows with double glazing, in adapted replica of the original design, hardwood external cladding with insulation and roof coverings with added insulation. Apart from the upgraded replica elements, some parts of the project are new additions, as the integrity of the original was lost: entrance door panel and hallway, bathroom, kitchen, bespoke integrated storage units and a new garden design.
/****/

/**ILLUSTRATION**/
Book illustrations for "Personagens para um lugar memorável", by Ana Francisco, Black Sun publishers, Lisbon, 2004;Ilustração do livro de poemas: "Personagens para um lugar memorável", Ana Francisco, Black Sun publishers, Lisboa, 2004
/****/


/**AFONSO**/
Afonso House;Casa Afonso
2003-2011;2003-2011
Client: private;Cliente: privado
House in Tentúgal, Portugal;Casa em Tentúgal, Portugal
The ruin had to be demolished so the site could be seen in it's full potencial. A new house was built in the same place respecting the pre-existence and opened to the patio. Medieval windows were relocated, and a central heating system was added.;Só após a demolição da ruína, pudémos ver todo o potencial do lugar. Uma nova casa foi construída, sendo acrescentado um corpo em "L" fechando o pátio para a sala. A circulação foi estudada para que o pátio fosse vivido. O alçado a poente - em contacto com a praceta - teve um tratamento destacado para salvaguardar a memória das pré-existências do convento de Tentúgal.Foi adicionado um sistema de aquecimento central através de recuperador e radiadores a água.
/****/


/**MACAU**/
Social Welfare Office building;Edifício do Instituto de Acção Social de Macau
2005-2006;2005-2006
Status: project;Status: projecto
Client: Macau's Social Welfare Department;Cliente: Instituto de Acção Social de Macau
The new facilities for Macau's Social Welfare Department - a 16 storey office building in a corner site of 483 sqm. The design approach - revisiting the neoclassical - was part of the client’s brief.;Num gaveto de 483 m2 projectou-se o novo edifício de escritórios para o Instituto de Acção Social de Macau. O desenho, uma visita ao neoclássico, foi um requisito do cliente.
/****/


/**ATOM STAGEWEAR**/
Atom size Stagewear;Atom size Stagewear
2008;2008
Credits:Daniela Castel-Branco, Alexandra Varela, Heitor Alves;Créditos:Daniela Castel-Branco, Alexandra Varela, Heitor Alves
The pattern uses as inspiration typefaces and calligraphy. In this particular case the first letter of the western alphabet. The fabric was firstly conceived as part of my graduation project. Aware of my fashion background the Atom size singer ask me to design “something she could wear on stage” during the band concert/performances. The Stagewear it is an opportunity to recycle thoughts, a bit in the band improvisation mood. It’s composed by two pieces: First the necklace as wearable as any piece of cloth and second a new use for a t-shirt. The result it’s up-side-down wear. A T-shirt transformed into a XL baggy shorts.;The pattern uses as inspiration typefaces and calligraphy. In this particular case the first letter of the western alphabet. The fabric was firstly conceived as part of my graduation project. Aware of my fashion background the Atom size singer ask me to design “something she could wear on stage” during the band concert/performances. The Stagewear it is an opportunity to recycle thoughts, a bit in the band improvisation mood. It’s composed by two pieces: First the necklace as wearable as any piece of clothe and second a new use for a t-shirt. The result it’s up-side-down wear. A T-shirt transformed into a XL baggy shorts.
/****/

/**INFORMALITY**/
The importance of Informality, learning from Africa. [A Comparative study between Informal settlements and Vinex-districts];The importance of Informality, learning from Africa. [A Comparative study between Informal settlements and Vinex-districts]
2011;2011
Location: Angola, Netherlands;Location: Angola, Netherlands
Credits: Futurecycles;Credits: Futurecycles
Status: Granted by the Stimuleringsfonds voor;Status: Granted by the Stimuleringsfonds voor
Futurecycles see informal actions as an opportunity to think globally and to examine urban manifestations which are detached from architecture or urbanism practices. We believe that a research on the unplanned cities will launch clues opposed to urban social pathologies, which can also be found in the planned cities. Once we analyze these informal actions with no prejudgments or presumptions, we hope to unveil a sustainable approach to new urbanity. The intention is to develop a research based on the inherent qualities of informality that can be found in all human settlements, as a universal value.;Futurecycles see informal actions as an opportunity to think globally and to examine urban manifestations which are detached from architecture or urbanism practices. We believe that a research on the unplanned cities will launch clues opposed to urban social pathologies, which can also be found in the planned cities. Once we analyze these informal actions with no prejudgments or presumptions, we hope to unveil a sustainable approach to new urbanity. The intention is to develop a research based on the inherent qualities of informality that can be found in all human settlements, as a universal value.
/****/


/**NECK GATHER**/
Neck Gather;Neck Gather
2010;2010
Acessory Design and Handcraft;Acessory Design and Handcraft
Competition: Unlimited Design Competition 2010 http://unlimiteddesigncontest.org/en/product/neck-gather;Competition: Unlimited Design Competition 2010 http://unlimiteddesigncontest.org/en/product/neck-gather
Credits: Catherine Drieux, Fablab Amsterdam;Credits: Catherine Drieux, Fablab Amsterdam
The idea gathers two distinct materials in a neck accessory. A Laser cutted plexiglas front and a crochet silk back assembled together. Surprisingly, the contrast between the applied techniques enhances the body anatomy. The front is flat and the back softly surrounds the neck.;The idea gathers two distinct materials in a neck accessory. A Laser cutted plexiglas front and a crochet silk back assembled together. Surprisingly, the contrast between the applied techniques enhances the body anatomy. The front is flat and the back softly surrounds the neck.
/****/


/**S4M**/
S4M Skeletons for Mileuristas[Reusing one real estate legacy for a new target group];S4M Skeletons for Mileuristas[Reusing one real estate legacy for a new target group]
Location: Spain;Location: Spain
Status: ongoing;Status: ongoing
Credits: Futurecycles;Credits: Futurecycles
The impact of the Spanish crisis in the European Community is directly proportional to the size (10% of EU area) of the country. The Real Estate speculation left behind 1.2 million vacant legacies* and a demand for 760.000 social homes. These facts and figures are the engine of this research. Why is it necessary to build an additional 760.000 homes while there are 1.2 million already unoccupied standing? Although there is no money to finish these buildings, there is a shortage of affordable housing which could be filled by these vacant legacies. There is a need for urgent action to reuse the Skeletons* as potential structures before they fall into disrepair. They could become future homes for an unconsidered social group known as Mileuristas*, who would finally have access to an affordable dwelling.;The impact of the Spanish crisis in the European Community is directly proportional to the size (10% of EU area) of the country. The Real Estate speculation left behind 1.2 million vacant legacies* and a demand for 760.000 social homes. These facts and figures are the engine of this research. Why is it necessary to build an additional 760.000 homes while there are 1.2 million already unoccupied standing? Although there is no money to finish these buildings, there is a shortage of affordable housing which could be filled by these vacant legacies. There is a need for urgent action to reuse the Skeletons* as potential structures before they fall into disrepair. They could become future homes for an unconsidered social group known as Mileuristas*, who would finally have access to an affordable dwelling.
/****/


/**RESTAURANTE CASCAIS**/
Porto de Cascais Restaurant;Restaurante Porto de Cascais
2008;2008
Client: Private;Cliente: Privado
Status: Built;Status: Construído
Referbishment of an old lingerie shop into a small tapas restaurant.;Remodelação de uma loja de lingerie num restaurante de tapas.
/****/


/**SERVIÇOS**/
Services;Serviços
By Service;Serviços
Architecture;Arquitectura
Engineering;Engenharia
Urban Planning;Planeamento Urbano
Landscape;Paisagismo
Topography;Topografia
Industrial Design;Design de Equipamento
3D modelling;Modelação 3D
Project coordination (construction works on Class V and above);Coordenação de projectos (obras de classe V ou superior)
Technical supervision of construction sites (Class III, IV, V, heritage buildings, etc.);Direcção técnica de obra (classes III, IV, V, edifícios classificados, etc.)
Construction work oversight (Class III, IV, V, heritage buildings, etc.);Director de fiscalização de obra (classes III, IV, V, edifícios classificados, etc.)
Consulting on Architectural Heritage and Urban Renewal;Consultadoria em Património Arquitectónico e Reabilitação Urbana
Building inspections and reports;Peritagens
Rehabilitation of buildings;Reabilitação de edifícios
Rehabilitation of architectural heritage;Reabilitação do património arquitectónico
Maintenance Work and Prevention;Trabalhos de Manutenção e Prevenção
Inspections;Vistorias
Conservation and Restoration;Conservação e Restauro
Interventions in work areas in tiles, sculpture, stucco, painting, mural painting, stone materials, furniture, metal, gold carving, textiles, ceramics;Intervenções em obras nas áreas de azulejo, escultura, estuques, pintura, pintura mural, materiais pétreos, mobiliário, metais, talha dourada, têxteis, cerâmica
/*****/
